"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2007","European Union (current composition)","Methane","Total - all NACE activities","Tonne",":",""
"2008","European Union (current composition)","Methane","Total - all NACE activities","Tonne","19,685,817.04","s"
"2009","European Union (current composition)","Methane","Total - all NACE activities","Tonne","19,172,979.46","s"
"2010","European Union (current composition)","Methane","Total - all NACE activities","Tonne","18,733,028.25","s"
"2011","European Union (current composition)","Methane","Total - all NACE activities","Tonne","18,439,300.39","s"
"2012","European Union (current composition)","Methane","Total - all NACE activities","Tonne","18,183,546.73","s"
"2013","European Union (current composition)","Methane","Total - all NACE activities","Tonne","17,691,656.24","s"
"2014","European Union (current composition)","Methane","Total - all NACE activities","Tonne","17,500,909.71","s"
"2015","European Union (current composition)","Methane","Total - all NACE activities","Tonne","17,392,978.7","s"
"2016","European Union (current composition)","Methane","Total - all NACE activities","Tonne","17,162,710.84","s"
"2007","Belgium","Methane","Total - all NACE activities","Tonne","354,096.84",""
"2008","Belgium","Methane","Total - all NACE activities","Tonne","345,041.37",""
"2009","Belgium","Methane","Total - all NACE activities","Tonne","342,125.23",""
"2010","Belgium","Methane","Total - all NACE activities","Tonne","339,007.68",""
"2011","Belgium","Methane","Total - all NACE activities","Tonne","331,552.77",""
"2012","Belgium","Methane","Total - all NACE activities","Tonne","324,938.39",""
"2013","Belgium","Methane","Total - all NACE activities","Tonne","318,116.36",""
"2014","Belgium","Methane","Total - all NACE activities","Tonne","317,809.57",""
"2015","Belgium","Methane","Total - all NACE activities","Tonne","314,144.1",""
"2016","Belgium","Methane","Total - all NACE activities","Tonne","314,242.66","s"
"2007","Bulgaria","Methane","Total - all NACE activities","Tonne",":",""
"2008","Bulgaria","Methane","Total - all NACE activities","Tonne","107,059.48",""
"2009","Bulgaria","Methane","Total - all NACE activities","Tonne","98,491.67",""
"2010","Bulgaria","Methane","Total - all NACE activities","Tonne","102,010.44",""
"2011","Bulgaria","Methane","Total - all NACE activities","Tonne","111,178.71",""
"2012","Bulgaria","Methane","Total - all NACE activities","Tonne","102,857.83",""
"2013","Bulgaria","Methane","Total - all NACE activities","Tonne","86,206.55",""
"2014","Bulgaria","Methane","Total - all NACE activities","Tonne","89,465.05",""
"2015","Bulgaria","Methane","Total - all NACE activities","Tonne","90,232.47",""
"2016","Bulgaria","Methane","Total - all NACE activities","Tonne","87,249.27","s"
"2007","Czechia","Methane","Total - all NACE activities","Tonne",":",""
