"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2007","European Union (current composition)","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2008","European Union (current composition)","Carbon dioxide","Total - all NACE activities","Tonne","3,480,792,589","s"
"2009","European Union (current composition)","Carbon dioxide","Total - all NACE activities","Tonne","3,127,861,343","s"
"2010","European Union (current composition)","Carbon dioxide","Total - all NACE activities","Tonne","3,226,483,520","s"
"2011","European Union (current composition)","Carbon dioxide","Total - all NACE activities","Tonne","3,165,350,157","s"
"2012","European Union (current composition)","Carbon dioxide","Total - all NACE activities","Tonne","3,097,130,394","s"
"2013","European Union (current composition)","Carbon dioxide","Total - all NACE activities","Tonne","2,996,835,786","s"
"2014","European Union (current composition)","Carbon dioxide","Total - all NACE activities","Tonne","2,892,644,273","s"
"2015","European Union (current composition)","Carbon dioxide","Total - all NACE activities","Tonne","2,902,326,586","s"
"2016","European Union (current composition)","Carbon dioxide","Total - all NACE activities","Tonne","2,876,650,029","s"
"2007","Belgium","Carbon dioxide","Total - all NACE activities","Tonne","92,194,634",""
"2008","Belgium","Carbon dioxide","Total - all NACE activities","Tonne","88,793,464",""
"2009","Belgium","Carbon dioxide","Total - all NACE activities","Tonne","77,154,326",""
"2010","Belgium","Carbon dioxide","Total - all NACE activities","Tonne","82,575,303",""
"2011","Belgium","Carbon dioxide","Total - all NACE activities","Tonne","76,802,461",""
"2012","Belgium","Carbon dioxide","Total - all NACE activities","Tonne","74,877,360",""
"2013","Belgium","Carbon dioxide","Total - all NACE activities","Tonne","74,283,193",""
"2014","Belgium","Carbon dioxide","Total - all NACE activities","Tonne","71,998,192",""
"2015","Belgium","Carbon dioxide","Total - all NACE activities","Tonne","74,228,882",""
"2016","Belgium","Carbon dioxide","Total - all NACE activities","Tonne","73,927,591","s"
"2007","Bulgaria","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2008","Bulgaria","Carbon dioxide","Total - all NACE activities","Tonne","51,791,919",""
"2009","Bulgaria","Carbon dioxide","Total - all NACE activities","Tonne","43,709,115",""
"2010","Bulgaria","Carbon dioxide","Total - all NACE activities","Tonne","45,659,989",""
"2011","Bulgaria","Carbon dioxide","Total - all NACE activities","Tonne","50,818,414",""
"2012","Bulgaria","Carbon dioxide","Total - all NACE activities","Tonne","46,001,328",""
"2013","Bulgaria","Carbon dioxide","Total - all NACE activities","Tonne","40,575,405",""
"2014","Bulgaria","Carbon dioxide","Total - all NACE activities","Tonne","43,165,495",""
"2015","Bulgaria","Carbon dioxide","Total - all NACE activities","Tonne","45,763,738",""
"2016","Bulgaria","Carbon dioxide","Total - all NACE activities","Tonne","42,977,289","s"
"2007","Czechia","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2008","Czechia","Carbon dioxide","Total - all NACE activities","Tonne","99,572,162",""
"2009","Czechia","Carbon dioxide","Total - all NACE activities","Tonne","91,406,649",""
"2010","Czechia","Carbon dioxide","Total - all NACE activities","Tonne","93,577,574",""
"2011","Czechia","Carbon dioxide","Total - all NACE activities","Tonne","90,720,828",""
"2012","Czechia","Carbon dioxide","Total - all NACE activities","Tonne","86,605,307",""
"2013","Czechia","Carbon dioxide","Total - all NACE activities","Tonne","82,598,444",""
"2014","Czechia","Carbon dioxide","Total - all NACE activities","Tonne","81,823,628",""
"2015","Czechia","Carbon dioxide","Total - all NACE activities","Tonne","80,616,685",""
"2016","Czechia","Carbon dioxide","Total - all NACE activities","Tonne","78,087,695","s"
"2007","Denmark","Carbon dioxide","Total - all NACE activities","Tonne","92,027,863",""
"2008","Denmark","Carbon dioxide","Total - all NACE activities","Tonne","86,400,854",""
