"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2007","European Union (current composition)","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2008","European Union (current composition)","Nitrous oxide","Total - all NACE activities","Tonne","856,636.59","s"
"2009","European Union (current composition)","Nitrous oxide","Total - all NACE activities","Tonne","806,551.35","s"
"2010","European Union (current composition)","Nitrous oxide","Total - all NACE activities","Tonne","771,301.19","s"
"2011","European Union (current composition)","Nitrous oxide","Total - all NACE activities","Tonne","760,383.64","s"
"2012","European Union (current composition)","Nitrous oxide","Total - all NACE activities","Tonne","749,679.12","s"
"2013","European Union (current composition)","Nitrous oxide","Total - all NACE activities","Tonne","749,773.08","s"
"2014","European Union (current composition)","Nitrous oxide","Total - all NACE activities","Tonne","759,095.65","s"
"2015","European Union (current composition)","Nitrous oxide","Total - all NACE activities","Tonne","759,822.65","s"
"2016","European Union (current composition)","Nitrous oxide","Total - all NACE activities","Tonne","758,728.44","s"
"2007","Belgium","Nitrous oxide","Total - all NACE activities","Tonne","23,311.14",""
"2008","Belgium","Nitrous oxide","Total - all NACE activities","Tonne","23,060",""
"2009","Belgium","Nitrous oxide","Total - all NACE activities","Tonne","23,569.58",""
"2010","Belgium","Nitrous oxide","Total - all NACE activities","Tonne","25,398.97",""
"2011","Belgium","Nitrous oxide","Total - all NACE activities","Tonne","21,449.97",""
"2012","Belgium","Nitrous oxide","Total - all NACE activities","Tonne","21,139.46",""
"2013","Belgium","Nitrous oxide","Total - all NACE activities","Tonne","20,539.16",""
"2014","Belgium","Nitrous oxide","Total - all NACE activities","Tonne","20,734.39",""
"2015","Belgium","Nitrous oxide","Total - all NACE activities","Tonne","20,144.63",""
"2016","Belgium","Nitrous oxide","Total - all NACE activities","Tonne","20,098.57","s"
"2007","Bulgaria","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2008","Bulgaria","Nitrous oxide","Total - all NACE activities","Tonne","9,561.65",""
"2009","Bulgaria","Nitrous oxide","Total - all NACE activities","Tonne","8,308.04",""
"2010","Bulgaria","Nitrous oxide","Total - all NACE activities","Tonne","9,377.23",""
"2011","Bulgaria","Nitrous oxide","Total - all NACE activities","Tonne","8,576.37",""
"2012","Bulgaria","Nitrous oxide","Total - all NACE activities","Tonne","8,613.77",""
"2013","Bulgaria","Nitrous oxide","Total - all NACE activities","Tonne","9,248.79",""
"2014","Bulgaria","Nitrous oxide","Total - all NACE activities","Tonne","6,876.49",""
"2015","Bulgaria","Nitrous oxide","Total - all NACE activities","Tonne","8,350.39",""
"2016","Bulgaria","Nitrous oxide","Total - all NACE activities","Tonne","8,333.48","s"
"2007","Czechia","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2008","Czechia","Nitrous oxide","Total - all NACE activities","Tonne","16,732.05",""
"2009","Czechia","Nitrous oxide","Total - all NACE activities","Tonne","15,492.82",""
"2010","Czechia","Nitrous oxide","Total - all NACE activities","Tonne","14,877.95",""
"2011","Czechia","Nitrous oxide","Total - all NACE activities","Tonne","15,617.99",""
"2012","Czechia","Nitrous oxide","Total - all NACE activities","Tonne","15,349.81",""
"2013","Czechia","Nitrous oxide","Total - all NACE activities","Tonne","15,370.31",""
"2014","Czechia","Nitrous oxide","Total - all NACE activities","Tonne","16,067.33",""
"2015","Czechia","Nitrous oxide","Total - all NACE activities","Tonne","16,060.14",""
"2016","Czechia","Nitrous oxide","Total - all NACE activities","Tonne","16,108.55","s"
"2007","Denmark","Nitrous oxide","Total - all NACE activities","Tonne","19,455.97",""
"2008","Denmark","Nitrous oxide","Total - all NACE activities","Tonne","19,236.97",""
"2009","Denmark","Nitrous oxide","Total - all NACE activities","Tonne","18,265.05",""
"2010","Denmark","Nitrous oxide","Total - all NACE activities","Tonne","17,889.1",""
"2011","Denmark","Nitrous oxide","Total - all NACE activities","Tonne","18,035.63",""
"2012","Denmark","Nitrous oxide","Total - all NACE activities","Tonne","17,607.03",""
"2013","Denmark","Nitrous oxide","Total - all NACE activities","Tonne","17,519.03",""
"2014","Denmark","Nitrous oxide","Total - all NACE activities","Tonne","17,859.11",""
"2015","Denmark","Nitrous oxide","Total - all NACE activities","Tonne","18,009.24",""
"2016","Denmark","Nitrous oxide","Total - all NACE activities","Tonne","18,058",""
"2007","Germany (until 1990 former territory of the FRG)","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2008","Germany (until 1990 former territory of the FRG)","Nitrous oxide","Total - all NACE activities","Tonne","151,910.94",""
